"fname_cells","fname_rings","fname_settings","fname_image","site","species","tree","woodpiece","slide","image","tree_code","woodpiece_code","slide_code","image_code"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2.jpg","POG","PISY","08","B","1","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_1","POG_PISY_08_B_1_2"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3.jpg","POG","PISY","08","B","1","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_1","POG_PISY_08_B_1_3"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1.jpg","POG","PISY","08","B","2","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_1"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2.jpg","POG","PISY","08","B","2","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_2"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3.jpg","POG","PISY","08","B","2","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_3"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1.jpg","POG","PISY","08","B","3","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_1"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2.jpg","POG","PISY","08","B","3","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_2"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3.jpg","POG","PISY","08","B","3","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_3"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_1.jpg","POG","PISY","08","B","4","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_4","POG_PISY_08_B_4_1"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_2.jpg","POG","PISY","08","B","4","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_4","POG_PISY_08_B_4_2"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_3_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_4_3.jpg","POG","PISY","08","B","4","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_4","POG_PISY_08_B_4_3"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_1.jpeg","POG","PISY","08","B","5","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_5","POG_PISY_08_B_5_1"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_2.jpeg","POG","PISY","08","B","5","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_5","POG_PISY_08_B_5_2"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_3_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_5_3.jpeg","POG","PISY","08","B","5","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_5","POG_PISY_08_B_5_3"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_1_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_1.jpeg","POG","PISY","08","B","6","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_6","POG_PISY_08_B_6_1"
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_2_ROXAS_Settings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_6_2.jpeg","POG","PISY","08","B","6","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_6","POG_PISY_08_B_6_2"
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_1_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_1_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_1_ROXAS_Settings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_1.jpg","STO","PISY","20",NA,"1","1","STO_PISY_20","STO_PISY_20","STO_PISY_20_1","STO_PISY_20_1_1"
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_2_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_2_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_2_ROXAS_Settings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_2.jpg","STO","PISY","20",NA,"1","2","STO_PISY_20","STO_PISY_20","STO_PISY_20_1","STO_PISY_20_1_2"
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_3_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_3_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_3_ROXAS_Settings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_1_3.jpg","STO","PISY","20",NA,"1","3","STO_PISY_20","STO_PISY_20","STO_PISY_20_1","STO_PISY_20_1_3"
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_1_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_1_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_1_ROXAS_Settings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_1.jpg","STO","PISY","20",NA,"2","1","STO_PISY_20","STO_PISY_20","STO_PISY_20_2","STO_PISY_20_2_1"
"../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_2_Output_Cells.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_2_Output_Rings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_2_ROXAS_Settings.txt","../QWA_Arzac2024/STO/STO_20/STO_PISY_20_2_2.jpg","STO","PISY","20",NA,"2","2","STO_PISY_20","STO_PISY_20","STO_PISY_20_2","STO_PISY_20_2_2"
