"fname_image","fname_cells","fname_rings","fname_settings","org_img_name","site","species","tree","woodpiece","slide","image","tree_code","woodpiece_code","slide_code","image_code","img_filetype","img_size","img_width","img_height","software","sw_version","configuration_file","created_at","spatial_resolution","origin_calibrated_x","origin_calibrated_y","meas_geometry","circ_lower_limit","circ_upper_limit","outmost_year","min_cell_area","max_cell_area","dbl_cwt_threshold","max_cwtrad_s","max_cwtrad_l","relwidth_cwt_window","maxrel_opp_cwt","max_cwttan_s","max_cwttan_l"
"../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_2.jpg","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_02B/POG_PISY_02B_4_2_ROXAS_Settings.txt","POG_PISY_02B_4_2","POG","PISY","02","B","4","2","POG_PISY_02","POG_PISY_02_B","POG_PISY_02_B_4","POG_PISY_02_B_4_2","JPEG",24183784,5001,30028,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-10-11 19:44:00,2.267499924,2500,-150000,"linear",179,181,1962,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_1.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_1_ROXAS_Settings.txt","POG_PISY_08B_1_1","POG","PISY","08","B","1","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_1","POG_PISY_08_B_1_1","JPEG",22361281,5000,28620,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 18:42:00,2.267499924,2500,-150000,"linear",179,181,2018,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_2_ROXAS_Settings.txt","POG_PISY_08B_1_2","POG","PISY","08","B","1","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_1","POG_PISY_08_B_1_2","JPEG",37848901,31002,5001,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 18:49:00,2.267499924,2500,-150000,"linear",179,181,2008,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_1_3_ROXAS_Settings.txt","POG_PISY_08B_1_3","POG","PISY","08","B","1","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_1","POG_PISY_08_B_1_3","JPEG",8356424,5001,14786,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 18:52:00,2.267499924,2500,-150000,"linear",179,181,2002,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_1_ROXAS_Settings.txt","POG_PISY_08B_2_1","POG","PISY","08","B","2","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_1","JPEG",12283071,5000,20254,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 18:57:00,2.267499924,2500,-150000,"linear",179,181,2000,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_2_ROXAS_Settings.txt","POG_PISY_08B_2_2","POG","PISY","08","B","2","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_2","JPEG",25261862,5000,32000,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:04:00,2.267499924,2500,-150000,"linear",179,181,1997,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_2_3_ROXAS_Settings.txt","POG_PISY_08B_2_3","POG","PISY","08","B","2","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_2","POG_PISY_08_B_2_3","JPEG",20118483,5001,27946,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:10:00,2.267499924,2500,-150000,"linear",179,181,1991,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_1_ROXAS_Settings.txt","POG_PISY_08B_3_1","POG","PISY","08","B","3","1","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_1","JPEG",24431201,5000,30806,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:16:00,2.267499924,2500,-150000,"linear",179,181,1989,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_2_ROXAS_Settings.txt","POG_PISY_08B_3_2","POG","PISY","08","B","3","2","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_2","JPEG",25100803,5000,31470,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:23:00,2.267499924,2500,-150000,"linear",179,181,1983,5,2500,0,10,4,0.75,1.5,10,4
"../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3.jpg","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_Output_Cells.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_Output_Rings.txt","../QWA_Arzac2024/POG/POG_08/POG_PISY_08B_3_3_ROXAS_Settings.txt","POG_PISY_08B_3_3","POG","PISY","08","B","3","3","POG_PISY_08","POG_PISY_08_B","POG_PISY_08_B_3","POG_PISY_08_B_3_3","JPEG",9746369,5001,15014,"ROXAS","3.0.608","Pinus_sylvestris_RNF_Alberto_2.267574",2021-04-09 19:26:00,2.267499924,2500,-150000,"linear",179,181,1977,5,2500,0,10,4,0.75,1.5,10,4
